"","x"
"cg00512700",689
"cg00513357",690
"cg00515235",691
"cg00515905",692
"cg00515954",693
"cg00516349",694
"cg00518702",695
"cg00518708",696
"cg00519119",697
"cg00519284",698
"cg00519301",699
"cg00519323",700
"cg00519918",701
"cg00521920",702
"cg00522231",703
"cg00522402",704
"cg00522519",705
"cg00522668",706
"cg00523349",707
"cg00523361",708
"cg00523855",709
"cg00524115",710
"cg00525251",711
"cg00526068",712
"cg00527415",713
"cg00527510",714
"cg00528052",715
"cg00528541",716
"cg00529649",717
"cg00531009",718
"cg00531909",719
"cg00532890",720
"cg00533774",721
"cg00535482",722
"cg00538388",723
"cg00539598",724
"cg00540391",725
"cg00540706",726
"cg00542313",727
"cg00542737",728
"cg00543023",729
"cg00543458",730
"cg00545236",731
"cg00545696",732
"cg00546281",733
"cg00546693",734
"cg00547789",735
"cg00548085",736
"cg00548487",737
"cg00548719",738
"cg00549985",739
"cg00550040",740
"cg00551264",741
"cg00551503",742
"cg00552731",743
"cg00553880",744
"cg00553886",745
"cg00553911",746
"cg00554332",747
"cg00555047",748
"cg00555070",749
"cg00556573",750
"cg00557468",751
"cg00557947",752
"cg00559067",753
"cg00560327",754
"cg00562080",755
"cg00562438",756
"cg00562553",757
"cg00562749",758
"cg00563016",759
"cg00563045",760
"cg00564054",761
"cg00566346",762
"cg00566395",763
"cg00566855",764
"cg00567001",765
"cg00568797",766
"cg00569374",767
"cg00570517",768
"cg00570985",769
"cg00571033",770
"cg00571633",771
"cg00571722",772
"cg00572334",773
"cg00573041",774
"cg00576279",775
"cg00576774",776
"cg00577233",777
"cg00577417",778
"cg00577835",779
"cg00578263",780
"cg00578937",781
"cg00580052",782
"cg00580454",783
"cg00582446",784
"cg00582628",785
"cg00582950",786
"cg00583628",787
"cg00583683",788
"cg00585108",789
"cg00585163",790
"cg00585359",791
"cg00585733",792
"cg00586556",793
"cg00587168",794
"cg00589789",795
"cg00590051",796
"cg00591406",797
"cg00592151",798
"cg00593231",799
"cg00593462",800
"cg00593862",801
"cg00594099",802
"cg00594698",803
"cg00595076",804
"cg00595156",805
"cg00595237",806
"cg00595660",807
"cg00597118",808
"cg00597234",809
"cg00597285",810
"cg00597719",811
"cg00597759",812
"cg00598343",813
"cg00598724",814
"cg00599230",815
"cg00601070",816
"cg00604109",817
"cg00604987",818
"cg00605332",819
"cg00606085",820
"cg00608008",821
"cg00608221",822
"cg00608633",823
"cg00611149",824
"cg00611206",825
"cg00611309",826
"cg00612583",827
"cg00612925",828
"cg00613562",829
"cg00614320",830
"cg00614622",831
"cg00614923",832
"cg00615662",833
"cg00616272",834
"cg00618420",835
"cg00618479",836
"cg00619207",837
"cg00619575",838
"cg00620527",839
"cg00621125",840
"cg00621224",841
"cg00621654",842
"cg00622300",843
"cg00622374",844
"cg00623160",845
"cg00623391",846
"cg00627621",847
"cg00627626",848
"cg00627678",849
"cg00629585",850
"cg00631268",851
"cg00632889",852
"cg00633857",853
"cg00634704",854
"cg00637411",855
"cg00637843",856
"cg00638532",857
"cg00638788",858
"cg00640107",859
"cg00640255",860
"cg00641826",861
"cg00643363",862
"cg00643485",863
"cg00645382",864
"cg00648405",865
"cg00649365",866
"cg00650240",867
"cg00650422",868
"cg00651667",869
"cg00652484",870
"cg00653777",871
"cg00653985",872
"cg00654772",873
"cg00656055",874
"cg00658652",875
"cg00658736",876
"cg00658751",877
"cg00658920",878
"cg00658982",879
"cg00659065",880
"cg00659574",881
"cg00660874",882
"cg00661523",883
"cg00661777",884
"cg00662491",885
"cg00662931",886
"cg00663363",887
"cg00663972",888
"cg00665868",889
"cg00666549",890
"cg00668187",891
"cg00668252",892
"cg00669285",893
"cg00670113",894
"cg00670697",895
"cg00672291",896
"cg00672555",897
"cg00672657",898
"cg00672891",899
"cg00673150",900
"cg00674395",901
"cg00674815",902
"cg00675053",903
"cg00675389",904
"cg00676135",905
"cg00678568",906
"cg00678608",907
"cg00678823",908
"cg00679862",909
"cg00684550",910
"cg00684577",911
"cg00685149",912
"cg00686910",913
"cg00687049",914
"cg00687674",915
"cg00687713",916
"cg00688078",917
"cg00688252",918
"cg00688975",919
"cg00689383",920
"cg00689651",921
"cg00690028",922
"cg00691401",923
"cg00693817",924
"cg00694277",925
"cg00694357",926
"cg00695659",927
"cg00696175",928
"cg00696388",929
"cg00696623",930
"cg00697942",931
"cg00698219",932
"cg00700237",933
"cg00701951",934
"cg00702638",935
"cg00702872",936
"cg00703091",937
"cg00703273",938
"cg00703619",939
"cg00704341",940
"cg00704763",941
"cg00705684",942
"cg00705730",943
"cg00707632",944
"cg00708404",945
"cg00709542",946
"cg00711678",947
"cg00712594",948
"cg00713411",949
"cg00715063",950
"cg00715100",951
"cg00716110",952
"cg00716140",953
"cg00716194",954
"cg00716196",955
"cg00716372",956
"cg00717629",957
"cg00718342",958
"cg00719175",959
"cg00719335",960
"cg00719568",961
"cg00720104",962
"cg00720180",963
"cg00720992",964
"cg00724499",965
"cg00724865",966
"cg00726571",967
"cg00727061",968
"cg00727310",969
"cg00727382",970
"cg00728976",971
"cg00729699",972
"cg00730275",973
"cg00730730",974
"cg00731024",975
"cg00731079",976
"cg00733912",977
"cg00735249",978
"cg00737936",979
"cg00738250",980
"cg00738572",981
"cg00738648",982
"cg00738721",983
"cg00740694",984
"cg00740870",985
"cg00741609",986
"cg00741695",987
"cg00742557",988
"cg00743491",989
"cg00743923",990
"cg00744070",991
"cg00744433",992
"cg00745868",993
"cg00746230",994
"cg00746259",995
"cg00746288",996
"cg00747868",997
"cg00748157",998
"cg00748589",999
"cg00748659",1000
"cg00750099",1001
"cg00750399",1002
"cg00750525",1003
"cg00751472",1004
"cg00752442",1005
"cg00752670",1006
"cg00752852",1007
"cg00752968",1008
"cg00753411",1009
"cg00753885",1010
"cg00753997",1011
"cg00755021",1012
"cg00756693",1013
"cg00758003",1014
"cg00758337",1015
"cg00760643",1016
"cg00760938",1017
"cg00761619",1018
"cg00762209",1019
"cg00763618",1020
"cg00764129",1021
"cg00764339",1022
"cg00764475",1023
"cg00765068",1024
"cg00765833",1025
"cg00766718",1026
"cg00766988",1027
"cg00767915",1028
"cg00769951",1029
"cg00770316",1030
"cg00772083",1031
"cg00772515",1032
"cg00773632",1033
"cg00773909",1034
"cg00774005",1035
"cg00774674",1036
"cg00775910",1037
"cg00776597",1038
"cg00776783",1039
"cg00777340",1040
"cg00777947",1041
"cg00779472",1042
"cg00780852",1043
"cg00782232",1044
"cg00782708",1045
"cg00782811",1046
"cg00783674",1047
"cg00783833",1048
"cg00784442",1049
"cg00784834",1050
"cg00784860",1051
"cg00785632",1052
"cg00785760",1053
"cg00785909",1054
"cg00786351",1055
"cg00786734",1056
"cg00786827",1057
"cg00787186",1058
"cg00787665",1059
"cg00788325",1060
"cg00788669",1061
"cg00788877",1062
"cg00789527",1063
"cg00791213",1064
"cg00791311",1065
"cg00791863",1066
"cg00793219",1067
"cg00793748",1068
"cg00793774",1069
"cg00794219",1070
"cg00794359",1071
"cg00794775",1072
"cg00794881",1073
"cg00795277",1074
"cg00795812",1075
"cg00795927",1076
"cg00797540",1077
"cg00797557",1078
"cg00798698",1079
"cg00800848",1080
"cg00801362",1081
"cg00801799",1082
"cg00802115",1083
"cg00802789",1084
"cg00803366",1085
"cg00806006",1086
"cg00806925",1087
"cg00807226",1088
"cg00807903",1089
"cg00808134",1090
"cg00808305",1091
"cg00809033",1092
"cg00809089",1093
"cg00809149",1094
"cg00809740",1095
"cg00810217",1096
"cg00810883",1097
"cg00811020",1098
"cg00811221",1099
"cg00811894",1100
"cg00815545",1101
"cg00815652",1102
"cg00815761",1103
"cg00816192",1104
"cg00817637",1105
"cg00820579",1106
"cg00822110",1107
"cg00823323",1108
"cg00823476",1109
"cg00823568",1110
"cg00824176",1111
"cg00826534",1112
"cg00826905",1113
"cg00827518",1114
"cg00827935",1115
"cg00830351",1116
"cg00831548",1117
"cg00833037",1118
"cg00833227",1119
"cg00838150",1120
"cg00838278",1121
"cg00838404",1122
"cg00838881",1123
"cg00839031",1124
"cg00839129",1125
"cg00839434",1126
"cg00841581",1127
"cg00842154",1128
"cg00842325",1129
"cg00842370",1130
"cg00843152",1131
"cg00843538",1132
"cg00843792",1133
"cg00844490",1134
"cg00845900",1135
"cg00847015",1136
"cg00847072",1137
"cg00847238",1138
"cg00848374",1139
"cg00848520",1140
"cg00849038",1141
"cg00850663",1142
"cg00851088",1143
"cg00851590",1144
"cg00851842",1145
"cg00851901",1146
"cg00851988",1147
"cg00852595",1148
"cg00853576",1149
"cg00855091",1150
"cg00855137",1151
"cg00855890",1152
"cg00856080",1153
"cg00857016",1154
"cg00857360",1155
"cg00857814",1156
"cg00858647",1157
"cg00858997",1158
"cg00859590",1159
"cg00859637",1160
"cg00860188",1161
"cg00860189",1162
"cg00860225",1163
"cg00860361",1164
"cg00860838",1165
"cg00861228",1166
"cg00861348",1167
"cg00861892",1168
"cg00862066",1169
"cg00862290",1170
"cg00862376",1171
"cg00863447",1172
"cg00863740",1173
"cg00864083",1174
"cg00864262",1175
"cg00864867",1176
"cg00865002",1177
"cg00865099",1178
"cg00867406",1179
"cg00867415",1180
"cg00867443",1181
"cg00867949",1182
"cg00868376",1183
"cg00871371",1184
"cg00871526",1185
"cg00872748",1186
"cg00873201",1187
"cg00874125",1188
"cg00874874",1189
"cg00875779",1190
"cg00876235",1191
"cg00876659",1192
"cg00877739",1193
"cg00877778",1194
"cg00878023",1195
"cg00879119",1196
"cg00879444",1197
"cg00883967",1198
"cg00885424",1199
"cg00887636",1200
"cg00887670",1201
"cg00887982",1202
"cg00889599",1203
"cg00890651",1204
"cg00890916",1205
"cg00891226",1206
"cg00893084",1207
"cg00893471",1208
"cg00894554",1209
"cg00896157",1210
"cg00896209",1211
"cg00896768",1212
"cg00896947",1213
"cg00897537",1214
"cg00897651",1215
"cg00900456",1216
"cg00900674",1217
"cg00900734",1218
"cg00901683",1219
"cg00901685",1220
"cg00902032",1221
"cg00902275",1222
"cg00902440",1223
"cg00902716",1224
"cg00903722",1225
"cg00903815",1226
"cg00904423",1227
"cg00906833",1228
"cg00906973",1229
"cg00906983",1230
"cg00907438",1231
"cg00908601",1232
"cg00908709",1233
"cg00908850",1234
"cg00908965",1235
"cg00909225",1236
"cg00909385",1237
"cg00910419",1238
"cg00912815",1239
"cg00913314",1240
"cg00914030",1241
"cg00915004",1242
"cg00915395",1243
"cg00915647",1244
"cg00915901",1245
"cg00916651",1246
"cg00917676",1247
"cg00918089",1248
"cg00918383",1249
"cg00919143",1250
"cg00919407",1251
"cg00920242",1252
"cg00920372",1253
"cg00920454",1254
"cg00920973",1255
"cg00921109",1256
"cg00922630",1257
"cg00923443",1258
"cg00925802",1259
"cg00927851",1260
"cg00928703",1261
"cg00928732",1262
"cg00929113",1263
"cg00929397",1264
"cg00929516",1265
"cg00930337",1266
"cg00930873",1267
"cg00933498",1268
"cg00934241",1269
"cg00935474",1270
"cg00935831",1271
"cg00936991",1272
"cg00937880",1273
"cg00939855",1274
"cg00940840",1275
"cg00941603",1276
"cg00942997",1277
"cg00943950",1278
"cg00944045",1279
"cg00945507",1280
"cg00945808",1281
"cg00946032",1282
"cg00948634",1283
"cg00951719",1284
"cg00951891",1285
"cg00952114",1286
"cg00952468",1287
"cg00953793",1288
"cg00953859",1289
"cg00954002",1290
"cg00954258",1291
"cg00954841",1292
"cg00955230",1293
"cg00956510",1294
"cg00957001",1295
"cg00957471",1296
"cg00957561",1297
"cg00958552",1298
"cg00959147",1299
"cg00959249",1300
"cg00960192",1301
"cg00963092",1302
"cg00965104",1303
"cg00965692",1304
"cg00965883",1305
"cg00966157",1306
"cg00966253",1307
"cg00967479",1308
"cg00967835",1309
"cg00967908",1310
"cg00968638",1311
"cg00969724",1312
"cg00971828",1313
"cg00971969",1314
"cg00973544",1315
"cg00973592",1316
"cg00975228",1317
"cg00975350",1318
"cg00975442",1319
"cg00976065",1320
"cg00976203",1321
"cg00976917",1322
"cg00977108",1323
"cg00980719",1324
"cg00981548",1325
"cg00982312",1326
"cg00983568",1327
"cg00984060",1328
"cg00985561",1329
"cg00987824",1330
"cg00988050",1331
"cg00988711",1332
"cg00988788",1333
"cg00989001",1334
"cg00989341",1335
"cg00989791",1336
"cg00991848",1337
"cg00992842",1338
"cg00993368",1339
"cg00993893",1340
"cg00994804",1341
"cg00995686",1342
"cg00995852",1343
"cg01000173",1344
"cg01000178",1345
"cg01001202",1346
"cg01001431",1347
"cg01001800",1348
"cg01002223",1349
"cg01005773",1350
"cg01006396",1351
"cg01007604",1352
"cg01008025",1353
"cg01008443",1354
"cg01009870",1355
"cg01011077",1356
"cg01012005.1",1357
"cg01012005.2",1358
"cg01013124",1359
"cg01015974",1360
"cg01016328",1361
"cg01017056",1362
"cg01018428",1363
"cg01019040",1364
"cg01019569",1365
"cg01019608",1366
"cg01020408",1367
"cg01020818",1368
"cg01021339",1369
"cg01022031",1370
"cg01022174",1371
"cg01022378",1372
"cg01022861",1373
"cg01024113",1374
"cg01024458",1375
"cg01024757",1376
"cg01025800",1377
"cg01026068",1378
"cg01026140",1379
"cg01027277",1380
"cg01027323",1381
"cg01027739",1382
"cg01027805.1",1383
"cg01027805.2",1384
"cg01028270",1385
"cg01029325",1386
"cg01029859",1387
"cg01029944",1388
"cg01030727",1389
"cg01032183",1390
"cg01032683",1391
"cg01033280",1392
"cg01033486",1393
"cg01033833",1394
"cg01034352",1395
"cg01034494",1396
"cg01036016",1397
"cg01036197",1398
"cg01036505",1399
"cg01037009",1400
"cg01038105",1401
"cg01038699",1402
"cg01039531",1403
"cg01039540",1404
"cg01040649",1405
"cg01041720",1406
"cg01042193",1407
"cg01042844",1408
"cg01043501",1409
"cg01045331",1410
"cg01045442",1411
"cg01046634",1412
"cg01047058",1413
"cg01047218",1414
"cg01047390",1415
"cg01049141",1416
"cg01049455",1417
"cg01050866",1418
"cg01050998",1419
"cg01051527",1420
"cg01051653",1421
"cg01052352",1422
"cg01052585",1423
"cg01052727",1424
"cg01053290",1425
"cg01053921",1426
"cg01054402",1427
"cg01054501",1428
"cg01056020",1429
"cg01056568",1430
"cg01058499",1431
"cg01059261",1432
"cg01059398",1433
"cg01059743",1434
"cg01061575",1435
"cg01061817",1436
"cg01063757",1437
"cg01063908",1438
"cg01065375",1439
"cg01065776",1440
"cg01066008",1441
"cg01067793",1442
"cg01068369",1443
"cg01068449",1444
"cg01068768",1445
"cg01070983",1446
"cg01072364",1447
"cg01072588",1448
"cg01073668",1449
"cg01073946",1450
"cg01074811",1451
"cg01075824",1452
"cg01077341",1453
"cg01078984",1454
"cg01079397.1",1455
"cg01079397.2",1456
"cg01079453",1457
"cg01079466",1458
"cg01079539",1459
"cg01079563",1460
"cg01079751",1461
"cg01079812",1462
"cg01080993",1463
"cg01081765",1464
"cg01084584",1465
"cg01085196",1466
"cg01085723",1467
"cg01087729",1468
"cg01088086",1469
"cg01088131",1470
"cg01088303",1471
"cg01088385",1472
"cg01088404",1473
"cg01089213",1474
"cg01089519",1475
"cg01090134",1476
"cg01090334",1477
"cg01090774",1478
"cg01092932",1479
"cg01093013",1480
"cg01093365",1481
"cg01093482",1482
"cg01093750",1483
"cg01096178",1484
"cg01096459",1485
"cg01096814",1486
"cg01097137",1487
"cg01097606",1488
"cg01097631",1489
"cg01099217",1490
"cg01099625",1491
"cg01100740",1492
"cg01101069",1493
"cg01103892",1494
"cg01104009",1495
"cg01105418",1496
